timestamp,machine_id,status,temperature,load,vibration
2024-01-01 00:00:00,MCH-001,UP,69.56,77.14,0.622
2024-01-01 00:30:00,MCH-001,UP,70.0,76.78,0.537
2024-01-01 01:00:00,MCH-001,UP,75.12,89.31,0.709
2024-01-01 01:30:00,MCH-001,UP,71.21,74.0,0.506
2024-01-01 02:00:00,MCH-001,UP,79.27,89.94,0.72
2024-01-01 02:30:00,MCH-001,UP,79.76,89.43,0.756
2024-01-01 03:00:00,MCH-001,UP,79.32,89.15,0.585
2024-01-01 03:30:00,MCH-001,UP,67.92,75.13,0.524
2024-01-01 04:00:00,MCH-001,UP,74.72,82.13,0.589
2024-01-01 04:30:00,MCH-001,UP,80.84,89.41,0.62
2024-01-01 05:00:00,MCH-001,UP,67.86,80.65,0.616
2024-01-01 05:30:00,MCH-001,UP,78.31,86.99,0.599
2024-01-01 06:00:00,MCH-001,UP,69.43,75.34,0.696
2024-01-01 06:30:00,MCH-001,UP,71.74,77.17,0.69
2024-01-01 07:00:00,MCH-001,UP,68.56,78.02,0.553
2024-01-01 07:30:00,MCH-001,UP,78.78,84.88,0.78
2024-01-01 08:00:00,MCH-001,UP,64.8,70.68,0.604
2024-01-01 08:30:00,MCH-001,UP,69.77,78.78,0.72
2024-01-01 09:00:00,MCH-001,UP,82.63,83.99,0.734
2024-01-01 09:30:00,MCH-001,UP,72.68,83.24,0.557
2024-01-01 10:00:00,MCH-001,UP,75.58,84.23,0.577
2024-01-01 10:30:00,MCH-001,UP,71.28,79.71,0.55
2024-01-01 11:00:00,MCH-001,UP,73.05,85.62,0.652
2024-01-01 11:30:00,MCH-001,UP,70.98,79.96,0.538
2024-01-01 12:00:00,MCH-001,UP,81.09,85.45,0.59
2024-01-01 12:30:00,MCH-001,UP,77.62,88.35,0.601
2024-01-01 13:00:00,MCH-001,UP,75.21,85.3,0.674
2024-01-01 13:30:00,MCH-001,UP,78.55,84.39,0.685
2024-01-01 14:00:00,MCH-001,UP,68.01,81.32,0.623
2024-01-01 14:30:00,MCH-001,UP,71.52,78.76,0.6
2024-01-01 15:00:00,MCH-001,UP,67.89,72.55,0.623
2024-01-01 15:30:00,MCH-001,UP,81.65,83.52,0.629
2024-01-01 16:00:00,MCH-001,UP,67.13,80.94,0.609
2024-01-01 16:30:00,MCH-001,UP,79.56,82.75,0.586
2024-01-01 17:00:00,MCH-001,UP,72.21,82.28,0.655
2024-01-01 17:30:00,MCH-001,UP,67.04,73.1,0.652
2024-01-01 18:00:00,MCH-001,UP,68.67,75.41,0.547
2024-01-01 18:30:00,MCH-001,UP,79.42,91.72,0.694
2024-01-01 19:00:00,MCH-001,UP,82.89,94.03,0.779
2024-01-01 19:30:00,MCH-001,UP,68.54,72.94,0.569
2024-01-01 20:00:00,MCH-001,UP,74.67,76.91,0.672
2024-01-01 20:30:00,MCH-001,UP,75.15,84.93,0.632
2024-01-01 21:00:00,MCH-001,UP,67.24,80.31,0.603
2024-01-01 21:30:00,MCH-001,UP,74.52,86.1,0.662
2024-01-01 22:00:00,MCH-001,UP,71.26,71.46,0.524
2024-01-01 22:30:00,MCH-001,UP,74.52,80.27,0.731
2024-01-01 23:00:00,MCH-001,UP,75.64,81.95,0.659
2024-01-01 23:30:00,MCH-001,UP,78.15,90.45,0.633
2024-01-02 00:00:00,MCH-001,UP,74.86,82.18,0.702
2024-01-02 00:30:00,MCH-001,UP,75.91,85.51,0.54
2024-01-02 01:00:00,MCH-001,UP,72.68,81.22,0.677
2024-01-02 01:30:00,MCH-001,UP,70.5,77.7,0.61
2024-01-02 02:00:00,MCH-001,UP,72.85,86.9,0.61
2024-01-02 02:30:00,MCH-001,UP,77.79,84.51,0.607
2024-01-02 03:00:00,MCH-001,UP,70.81,79.7,0.542
2024-01-02 03:30:00,MCH-001,UP,69.99,81.45,0.67
2024-01-02 04:00:00,MCH-001,UP,71.07,75.02,0.675
2024-01-02 04:30:00,MCH-001,DOWN,71.48,77.88,0.586
2024-01-02 05:00:00,MCH-001,DOWN,50.67,0.0,0.207
2024-01-02 05:30:00,MCH-001,DOWN,38.96,0.0,0.011
2024-01-02 06:00:00,MCH-001,DOWN,42.2,0.0,0.166
2024-01-02 06:30:00,MCH-001,DOWN,43.09,0.0,0.013
2024-01-02 07:00:00,MCH-001,UP,74.14,83.75,0.521
2024-01-02 07:30:00,MCH-001,UP,77.21,82.72,0.665
2024-01-02 08:00:00,MCH-001,UP,82.0,93.18,0.637
2024-01-02 08:30:00,MCH-001,UP,76.01,85.22,0.604
2024-01-02 09:00:00,MCH-001,UP,77.16,87.51,0.713
2024-01-02 09:30:00,MCH-001,UP,69.73,74.52,0.495
2024-01-02 10:00:00,MCH-001,UP,71.63,74.84,0.657
2024-01-02 10:30:00,MCH-001,UP,70.42,75.71,0.551
2024-01-02 11:00:00,MCH-001,UP,76.66,85.76,0.701
2024-01-02 11:30:00,MCH-001,UP,68.22,82.25,0.561
2024-01-02 12:00:00,MCH-001,UP,77.88,90.05,0.661
2024-01-02 12:30:00,MCH-001,UP,75.5,76.35,0.702
2024-01-02 13:00:00,MCH-001,UP,66.45,74.02,0.634
2024-01-02 13:30:00,MCH-001,UP,81.43,85.35,0.672
2024-01-02 14:00:00,MCH-001,UP,80.46,89.7,0.608
2024-01-02 14:30:00,MCH-001,UP,74.64,79.6,0.671
2024-01-02 15:00:00,MCH-001,UP,69.99,75.01,0.641
2024-01-02 15:30:00,MCH-001,UP,73.99,85.69,0.6
2024-01-02 16:00:00,MCH-001,UP,78.38,84.09,0.655
2024-01-02 16:30:00,MCH-001,UP,75.46,86.01,0.679
2024-01-02 17:00:00,MCH-001,UP,71.34,78.91,0.522
2024-01-02 17:30:00,MCH-001,UP,68.5,79.98,0.526
2024-01-02 18:00:00,MCH-001,UP,81.32,91.77,0.683
2024-01-02 18:30:00,MCH-001,UP,75.96,81.3,0.62
2024-01-02 19:00:00,MCH-001,UP,78.65,87.88,0.731
2024-01-02 19:30:00,MCH-001,UP,71.22,78.62,0.588
2024-01-02 20:00:00,MCH-001,UP,77.4,84.34,0.676
2024-01-02 20:30:00,MCH-001,UP,73.3,84.74,0.626
2024-01-02 21:00:00,MCH-001,UP,78.86,91.66,0.669
2024-01-02 21:30:00,MCH-001,UP,78.55,89.62,0.744
2024-01-02 22:00:00,MCH-001,UP,77.53,83.13,0.653
2024-01-02 22:30:00,MCH-001,UP,68.64,80.84,0.513
2024-01-02 23:00:00,MCH-001,UP,69.73,76.47,0.599
2024-01-02 23:30:00,MCH-001,UP,70.41,84.0,0.604
2024-01-03 00:00:00,MCH-001,UP,77.21,92.28,0.702
2024-01-03 00:30:00,MCH-001,UP,78.84,87.32,0.765
2024-01-03 01:00:00,MCH-001,UP,75.5,84.85,0.715
2024-01-03 01:30:00,MCH-001,UP,70.11,76.43,0.636
2024-01-03 02:00:00,MCH-001,UP,78.87,89.06,0.755
2024-01-03 02:30:00,MCH-001,UP,80.07,89.47,0.599
2024-01-03 03:00:00,MCH-001,UP,77.02,84.79,0.642
2024-01-03 03:30:00,MCH-001,UP,73.42,76.37,0.7
2024-01-03 04:00:00,MCH-001,UP,78.28,89.16,0.583
2024-01-03 04:30:00,MCH-001,UP,66.89,81.32,0.504
2024-01-03 05:00:00,MCH-001,UP,71.85,78.33,0.546
2024-01-03 05:30:00,MCH-001,UP,70.55,74.61,0.533
2024-01-03 06:00:00,MCH-001,UP,77.87,85.13,0.699
2024-01-03 06:30:00,MCH-001,UP,71.23,82.45,0.622
2024-01-03 07:00:00,MCH-001,UP,74.35,76.18,0.633
2024-01-03 07:30:00,MCH-001,UP,70.94,75.06,0.635
2024-01-03 08:00:00,MCH-001,UP,78.29,81.45,0.674
2024-01-03 08:30:00,MCH-001,UP,68.08,69.35,0.56
2024-01-03 09:00:00,MCH-001,UP,71.73,84.06,0.614
2024-01-03 09:30:00,MCH-001,UP,68.9,77.47,0.613
2024-01-03 10:00:00,MCH-001,UP,77.36,88.95,0.684
2024-01-03 10:30:00,MCH-001,UP,72.4,74.88,0.588
2024-01-03 11:00:00,MCH-001,UP,75.57,80.72,0.638
2024-01-03 11:30:00,MCH-001,UP,72.48,78.61,0.585
2024-01-03 12:00:00,MCH-001,UP,79.46,87.57,0.617
2024-01-03 12:30:00,MCH-001,UP,72.49,77.11,0.614
2024-01-03 13:00:00,MCH-001,UP,69.88,78.33,0.605
2024-01-03 13:30:00,MCH-001,UP,75.16,84.42,0.62
2024-01-03 14:00:00,MCH-001,UP,73.39,81.58,0.598
2024-01-03 14:30:00,MCH-001,UP,75.68,87.25,0.748
2024-01-03 15:00:00,MCH-001,UP,70.43,73.98,0.609
2024-01-03 15:30:00,MCH-001,UP,77.84,86.12,0.602
2024-01-03 16:00:00,MCH-001,UP,71.87,74.28,0.515
2024-01-03 16:30:00,MCH-001,UP,73.14,79.23,0.655
2024-01-03 17:00:00,MCH-001,UP,65.07,73.09,0.537
2024-01-03 17:30:00,MCH-001,UP,72.06,73.35,0.512
2024-01-03 18:00:00,MCH-001,UP,75.79,78.99,0.702
2024-01-03 18:30:00,MCH-001,UP,65.92,75.07,0.561
2024-01-03 19:00:00,MCH-001,UP,76.93,81.95,0.727
