timestamp,machine_id,status,temperature,load,remarks
2026-04-03 08:00,M1,UP,68,0.71,
2026-04-03 08:35,M1,UP,70,0.74,
2026-04-03 09:05,M1,DOWN,97,0.90,
2026-04-03 09:40,M1,UP,72,0.68,
2026-04-03 08:10,M2,UP,62,0.57,
2026-04-03 08:55,M2,UP,64,0.60,
2026-04-03 09:20,M2,DOWN,88,0.83,
2026-04-03 10:00,M2,UP,66,0.61,
2026-04-03 08:15,M3,UP,55,0.50,
2026-04-03 08:45,M3,UP,58,0.52,
2026-04-03 09:30,M3,DOWN,92,0.87,
2026-04-03 10:10,M3,DOWN,,0.89,
2026-04-03 10:40,M3,UP,57,0.51,
2026-04-03 08:20,M4,UP,63,0.61,
2026-04-03 09:00,M4,UP,66,0.65,
2026-04-03 09:50,M4,DOWN,94,0.92,
2026-04-03 10:30,M4,UP,65,0.63,
